Day,Day
Week,Week
Month,Month
Year,Year
My Membership Area,"My Membership Area"
My Plans,"My Plans"
You do not sign up to any plan.,"You do not sign up to any plan."
Plan,Plan
Expired Date,"Expired Date"
Purchased Product Qty,"Purchased Product Qty"
Saved Total,"Saved Total"
Renew Now,"Renew Now"
My Payment History,"My Payment History"
Order Date,"Order Date"
Duration,Duration
Price,Price
Order State,"Order State"
Order Date,"Order Date"
Duration,Duration
Welcome To Our Membership Program,"Welcome To Our Membership Program"
Step 1,"Step 1"
Step 2,"Step 2"
Step 3,"Step 3"
Select the right package,"Select the right package"
Order Info/Payment option,"Order Info/Payment option"
Start to buy products with membership price,"Start to buy products with membership price"
View Detail,"View Detail"
There is no package available,"There is no package available"
Membership Area,"Membership Area"
Home,Home
Go to Home Page,"Go to Home Page"
Membership,Membership
Compare,Compare
Add New Group,"Add New Group"
Name,Name
Description,Description
Status,Status
Action,Action
Edit,Edit
Delete,Delete
Are you sure?,"Are you sure?"
Enable,Enable
Disable,Disable
End Time,"End Time"
Purchased Items,"Purchased Items"
Saved Total,"Saved Total"
Save Package,"Save Package"
Save and Continue Edit,"Save and Continue Edit"
Save and New,"Save and New"
Remind to renew email template (Default),"Remind to renew email template (Default)"
The group has been saved.,"The group has been saved."
Something went wrong while saving the record."Something went wrong while saving the record."
Please select record(s).,"Please select record(s)."
A total of %1 member(s) have been disabled.,"A total of %1 member(s) have been disabled."
The member has been saved.,"The member has been saved."
A total of %1 package(s) have been deleted.,"A total of %1 package(s) have been deleted."
Save Group,"Save Group"
Customer Id,"Customer Id"
Customer Name,"Customer Name"
Email,Email
Group,Group
Website,Website
Package Price,"Package Price"
Discount Type,"Discount Type"
If promotion type is percentage and promotion value is 5, each product in this package will be sale off 5%,"If promotion type is percentage and promotion value is 5, each product in this package will be sale off 5%"
Original Price,"Original Price"
Membership Price,"Membership Price"
You Save,"You Save"
Buy Now,"Buy Now"
View,View
There is no package available,"There is no package available"
Select the right package,"Select the right package"
Order Info/Payment option,"Order Info/Payment option"
Start to buy products with membership price,"Start to buy products with membership price"
Regular Price,"Regular Price"
Print This Page,"Print This Page"
Sign Up Now,"Sign Up Now"
Close Window,"Close Window"
Compare Membership Packages Price,"Compare Membership Packages Price"
View Membership Price,"View Membership Price"
Buy, Buy
Renew, Renew
Adding to cart...,"Adding to cart..."
View Package,"View Package"
